,volume,date
771,5773,2019-02-28
772,5802,2019-03-01
773,5156,2019-03-02
774,4037,2019-03-03
775,4682,2019-03-04
776,4727,2019-03-05
777,4549,2019-03-06
778,4495,2019-03-07
779,4324,2019-03-08
780,4636,2019-03-09
781,3716,2019-03-10
782,4224,2019-03-11
783,4376,2019-03-12
784,4229,2019-03-13
785,4313,2019-03-14
786,4552,2019-03-15
787,6371,2019-03-16
788,4783,2019-03-17
789,4745,2019-03-18
790,4939,2019-03-19
791,4552,2019-03-20
792,4479,2019-03-21
793,4794,2019-03-22
794,3859,2019-03-23
795,3208,2019-03-24
796,4030,2019-03-25
797,7589,2019-03-26
798,5865,2019-03-27
799,3881,2019-03-28
800,5512,2019-03-29
801,8353,2019-03-30
802,5199,2019-03-31
803,5076,2019-04-01
804,5433,2019-04-02
805,5350,2019-04-03
806,4924,2019-04-04
807,5184,2019-04-05
808,3990,2019-04-06
809,3227,2019-04-07
810,4390,2019-04-08
811,4897,2019-04-09
812,4881,2019-04-10
813,4658,2019-04-11
814,6838,2019-04-12
815,5680,2019-04-13
816,4130,2019-04-14
817,5628,2019-04-15
818,5291,2019-04-16
819,5094,2019-04-17
820,5064,2019-04-18
821,5559,2019-04-19
822,4903,2019-04-20
823,3434,2019-04-21
824,4558,2019-04-22
825,7744,2019-04-23
826,4754,2019-04-24
827,4310,2019-04-25
828,4577,2019-04-26
829,5505,2019-04-27
830,3334,2019-04-28
831,4306,2019-04-29
832,4622,2019-04-30
833,5076,2019-05-01
834,4713,2019-05-02
835,5360,2019-05-03
836,9611,2019-05-04
837,4651,2019-05-05
838,5132,2019-05-06
839,5576,2019-05-07
840,5100,2019-05-08
841,4649,2019-05-09
842,5035,2019-05-10
843,5591,2019-05-11
844,3895,2019-05-12
845,4943,2019-05-13
846,5430,2019-05-14
847,5893,2019-05-15
848,5709,2019-05-16
849,6383,2019-05-17
850,4613,2019-05-18
851,3693,2019-05-19
852,4688,2019-05-20
853,4995,2019-05-21
854,6409,2019-05-22
855,6122,2019-05-23
856,6389,2019-05-24
857,7100,2019-05-25
858,3883,2019-05-26
859,3893,2019-05-27
860,5098,2019-05-28
861,5921,2019-05-29
862,7270,2019-05-30
863,6312,2019-05-31
864,5397,2019-06-01
865,4638,2019-06-02
866,5840,2019-06-03
867,5910,2019-06-04
868,5777,2019-06-05
869,6253,2019-06-06
870,9679,2019-06-07
871,7594,2019-06-08
872,4881,2019-06-09
873,6892,2019-06-10
874,7430,2019-06-11
875,9252,2019-06-12
876,6622,2019-06-13
877,8510,2019-06-14
878,5168,2019-06-15
879,3763,2019-06-16
880,6,2019-06-17
